"","Acc","TP","TN","FP","FN","OOB"
"123","0.5","1","0","0","1","0.813035714285714"
"124","1","1","1","0","0","0.970176190476191"
"125","0","0","0","1","1","0.5406"
"126","0.5","1","0","0","1","0.865476190476191"
"127","0","0","0","1","1","0.222552380952381"
"128","0.5","1","0","0","1","0.808716666666667"
"129","0","0","0","1","1","0.656597619047619"
"130","0.5","1","0","0","1","0.984980952380952"
"131","0","0","0","1","1","0.551242857142857"
"132","0.5","0","1","1","0","0.644180952380952"
"133","0.5","0","1","1","0","0.508433333333333"
"134","0","0","0","1","1","0.575469047619048"
"135","1","1","1","0","0","0.852511904761905"
"136","0","0","0","1","1","0.247847619047619"
"137","0","0","0","1","1","0.256964285714286"
"138","1","1","1","0","0","0.917392857142857"
"139","1","1","1","0","0","0.972564285714286"
"140","0.5","1","0","0","1","0.901640476190476"
"141","0.5","0","1","1","0","0.791342857142857"
"142","0.5","0","1","1","0","0.527390476190476"
"143","0.5","1","0","0","1","0.951869047619048"
"144","0.5","1","0","0","1","0.739016666666667"
"145","0","0","0","1","1","0.624416666666667"
"146","0","0","0","1","1","0.502009523809524"
"147","0","0","0","1","1","0.841661904761905"
"148","0.5","0","1","1","0","0.805640476190476"
"149","1","1","1","0","0","0.974383333333333"
"150","0.5","1","0","0","1","0.8557"
"151","0","0","0","1","1","0.97692380952381"
"152","0","0","0","1","1","0.294119047619048"
"153","0.5","0","1","1","0","0.677028571428571"
"154","0","0","0","1","1","0.324457142857143"
"155","0.5","1","0","0","1","0.618678571428571"
"156","0.5","1","0","0","1","0.840759523809524"
"157","0","0","0","1","1","0.759121428571429"
"158","0.5","0","1","1","0","0.731359523809524"
"159","0","0","0","1","1","0.515726190476191"
"160","0.5","1","0","0","1","0.866071428571429"
"161","0.5","1","0","0","1","0.478485714285714"
"162","0","0","0","1","1","0.6373"
"163","0.5","0","1","1","0","0.874702380952381"
"164","0.5","1","0","0","1","0.533042857142857"
"165","0","0","0","1","1","0.712909523809524"
"166","0","0","0","1","1","0.398435714285714"
"167","0.5","1","0","0","1","0.60497619047619"
"168","0.5","1","0","0","1","0.546797619047619"
"169","0.5","1","0","0","1","0.616892857142857"
"170","0.5","0","1","1","0","0.708488095238095"
"171","0","0","0","1","1","0.873885714285714"
"172","0.5","1","0","0","1","0.814188095238095"
"173","0","0","0","1","1","0.166388095238095"
"174","0.5","1","0","0","1","0.647642857142857"
"175","0","0","0","1","1","0.373092857142857"
"176","0.5","0","1","1","0","0.530145238095238"
"177","0.5","1","0","0","1","0.447635714285714"
"178","0","0","0","1","1","0.536616666666667"
"179","1","1","1","0","0","0.958840476190476"
"180","0.5","1","0","0","1","0.711630952380952"
"181","0.5","1","0","0","1","0.477807142857143"
"182","0.5","1","0","0","1","0.83725"
"183","0","0","0","1","1","0.423095238095238"
"184","0.5","1","0","0","1","0.953011904761905"
"185","0","0","0","1","1","0.526702380952381"
"186","0.5","0","1","1","0","0.5557"
"187","0","0","0","1","1","0.7743"
"188","0.5","1","0","0","1","0.967428571428571"
"189","1","1","1","0","0","0.878819047619048"
"190","0.5","1","0","0","1","0.631028571428571"
"191","0","0","0","1","1","0.351488095238095"
"192","0.5","1","0","0","1","0.504821428571429"
"193","0.5","0","1","1","0","0.7693"
"194","0","0","0","1","1","0.778559523809524"
"195","0","0","0","1","1","0.76412380952381"
"196","0","0","0","1","1","0.5802"
"197","0.5","0","1","1","0","0.722621428571429"
"198","1","1","1","0","0","0.600426190476191"
"199","0","0","0","1","1","0.262880952380952"
"200","0","0","0","1","1","0.644440476190476"
"201","0.5","1","0","0","1","0.978535714285714"
"202","0","0","0","1","1","0.730766666666667"
"203","0.5","0","1","1","0","0.802107142857143"
"204","0.5","0","1","1","0","0.737535714285714"
"205","0.5","1","0","0","1","0.73125"
"206","0.5","0","1","1","0","0.75145"
"207","0","0","0","1","1","0.384583333333333"
"208","0","0","0","1","1","0.846028571428571"
"209","1","1","1","0","0","0.930814285714286"
"210","0.5","1","0","0","1","0.8215"
"211","0.5","0","1","1","0","0.738083333333333"
"212","0","0","0","1","1","0.628216666666667"
"213","0.5","0","1","1","0","0.714178571428571"
"214","1","1","1","0","0","0.973497619047619"
"215","0.5","1","0","0","1","0.811178571428571"
"216","1","1","1","0","0","0.860754761904762"
"217","1","1","1","0","0","0.550835714285714"
"218","0","0","0","1","1","0.970033333333333"
"219","0","0","0","1","1","0.642278571428571"
"220","0","0","0","1","1","0.673583333333333"
"221","0.5","1","0","0","1","0.786876190476191"
"222","1","1","1","0","0","0.806230952380952"
"223","0.5","0","1","1","0","0.663621428571429"
"224","1","1","1","0","0","0.666978571428571"
"225","0.5","1","0","0","1","0.508997619047619"
"226","0.5","0","1","1","0","0.563707142857143"
"227","0","0","0","1","1","0.624833333333333"
"228","0.5","1","0","0","1","0.5615"
"229","1","1","1","0","0","0.869128571428571"
"230","0.5","1","0","0","1","0.63055"
"231","0","0","0","1","1","0.442514285714286"
"232","0.5","1","0","0","1","0.732509523809524"
"233","0.5","0","1","1","0","0.926390476190476"
"234","0.5","0","1","1","0","0.62827380952381"
"235","0.5","1","0","0","1","0.759842857142857"
"236","1","1","1","0","0","0.719038095238095"
"237","0.5","1","0","0","1","0.523288095238095"
"238","0","0","0","1","1","0.756147619047619"
"239","1","1","1","0","0","0.978416666666667"
"240","0.5","0","1","1","0","0.712740476190476"
"241","0.5","1","0","0","1","0.969654761904762"
"242","0.5","1","0","0","1","0.455233333333333"
"243","0","0","0","1","1","0.383357142857143"
"244","0.5","1","0","0","1","0.816583333333333"
"245","1","1","1","0","0","0.987733333333333"
"246","0.5","1","0","0","1","0.928071428571429"
"247","0.5","0","1","1","0","0.709333333333333"
"248","0.5","0","1","1","0","0.626921428571429"
"249","0","0","0","1","1","0.743330952380952"
"250","0.5","0","1","1","0","0.718033333333333"
"251","0.5","1","0","0","1","0.560961904761905"
"252","0.5","1","0","0","1","0.882333333333333"
"253","1","1","1","0","0","0.605540476190476"
"254","0.5","0","1","1","0","0.906166666666667"
"255","1","1","1","0","0","0.907414285714286"
"256","0.5","0","1","1","0","0.734928571428571"
"257","0.5","1","0","0","1","0.874592857142857"
"258","0.5","0","1","1","0","0.750711904761905"
"259","0.5","1","0","0","1","0.848678571428571"
"260","0.5","1","0","0","1","0.597"
"261","0.5","1","0","0","1","0.894285714285714"
"262","0.5","1","0","0","1","0.588214285714286"
"263","0.5","1","0","0","1","0.613059523809524"
"264","0.5","1","0","0","1","0.790766666666667"
"265","0.5","0","1","1","0","0.587011904761905"
"266","0.5","1","0","0","1","0.633342857142857"
"267","0.5","1","0","0","1","0.464988095238095"
